Etudiant(e) : 21800138 - ZENS Coralie

Message clair :
 08 BF 2C EA 3D A2 FD E0 

Message chiffré juste :
 61 8F 6F D3 12 12 96 91 

Messages chiffrés faux :
 63 8A 6F 97 12 12 96 95 
 61 9D 6F 93 12 13 96 91 
 61 9F 6D 97 12 12 96 91 
 60 9F 6B 91 02 12 96 91 
 60 CF 6B 97 00 12 96 91 
 60 8F 6B D3 02 10 96 91 
 61 CF 6B D3 12 12 94 91 
 60 CF 6B D2 52 02 96 93 
 68 8F 6B D2 12 16 96 91 
 61 87 6F D2 12 02 96 91 
 61 8F 67 D2 52 12 96 91 
 21 8F 7F DB 52 16 96 91 
 61 8F 7F D2 1A 56 96 91 
 61 8F 7F D3 12 1A 96 90 
 21 8F 6F D3 12 52 9E 91 
 21 8F 7F D3 12 12 97 D9 
 01 8F 6F D3 16 52 87 90 
 61 AF 6F D3 12 12 87 D1 
 61 8F 4F D3 16 12 96 D1 
 65 8F 2F F3 12 12 97 D1 
 75 8F 2F D3 36 12 86 D1 
 65 8F 6E D3 12 32 96 91 
 71 8F 2E D3 12 12 B6 91 
 61 8F 2E C3 13 12 92 B1 
 E5 8F 2F C3 13 12 D6 91 
 61 0F 6F D3 13 12 D2 91 
 61 8F EF C3 12 12 D6 91 
 61 8A 6F 53 13 12 92 85 
 61 8A 6F C3 93 12 D2 95 
 61 8B 6F D3 12 92 96 85 
 61 8A 6F D3 12 12 16 81 
 61 8A 6F 93 12 13 96 05 
